item	name	bjje	rlj	xlj	ylj	jlj	nlj
101045001	内资企业所得税税款、滞纳金、罚款、加收利	0	362.68	25039.29	67610.29	67610.29	1251995.47
101045002	港澳台和外商投资企业所得税税款滞纳金、罚	0	0.40	11.80	11.80	11.80	669382.79
10107	资源税	0	0	383095.49	1111827.77	1111827.77	9098228.47
1010719	其他资源税	0	0	383095.49	1111827.77	1111827.77	9098228.47
10109	城市维护建设税	0	1760350.20	40185427.79	46227857.64	46227857.64	439332925.63
101090109	其他国有企业城市维护建设税	0	49707.85	1078299.07	1259417.48	1259417.48	4563922.45
1010902	集体企业城市维护建设税	0	4257.30	99652.31	167871.38	167871.38	2341031.03
1010903	股份制企业城市维护建设税	0	685822.47	10632380.23	11987818.60	11987818.60	118256249.39
1010904	联营企业城市维护建设税	0	0	626.22	1937.10	1937.10	8912.67
1010905	港澳台和外商投资企业城市维护建设税	0	246356.56	20930072.67	21837010.78	21837010.78	233237942.28
1010906	私营企业城市维护建设税	0	628846.49	6467125.14	8965686.50	8965686.50	69755715.72
1010919	其他城市维护建设税	0	145084.35	963877.41	1985753.73	1985753.73	10466604.40
1010920	城市维护建设税税款滞纳金、罚款收入	0	275.18	13394.74	22362.07	22362.07	702547.69
10110	房产税	0	2559028.11	13030889.28	19353988.67	19353988.67	193673569.13
1011001	国有企业房产税	0	71019.16	567882.97	735227.32	735227.32	4874606.42
1011002	集体企业房产税	0	0	102780.62	389356.15	389356.15	2752791.96
1011003	股份制企业房产税	0	327835.79	2876643.07	4331903.94	4331903.94	42282085.43
1011004	联营企业房产税	0	0	32157.90	32157.90	32157.90	171745.42
1011005	港澳台和外商投资企业房产税	0	1270160.31	4980639.69	5481493.68	5481493.68	64983285.30
1011006	私营企业房产税	0	220362.42	2453127.36	4695745.97	4695745.97	40834370.56
1011019	其他房产税	0	666599.34	2003594.55	3516056.13	3516056.13	35863776.91
1011020	房产税税款滞纳金、罚款收入	0	3051.09	14063.12	172047.58	172047.58	1910907.13
10111	印花税	0	554110.93	19365214.62	22075345.25	22075345.25	144646066.81
1011119	其他印花税	0	552087.95	19357541.13	22063812.74	22063812.74	144525979.83
1011120	印花税税款滞纳金、罚款收入	0	2022.98	7673.49	11532.51	11532.51	120086.98
10112	城镇土地使用税	0	48338.77	172987.58	499868.01	499868.01	122848695.17
1011201	国有企业城镇土地使用税	0	0	0	0	0	6261357.74
1011202	集体企业城镇土地使用税	0	0	7999.23	7999.23	7999.23	3009391.85
1011203	股份制企业城镇土地使用税	0	0	25919.32	-50086.37	-50086.37	28549597.95
1011204	联营企业城镇土地使用税	0	0	0	0	0	111618.99
1011205	私营企业城镇土地使用税	0	1793.92	-79683.40	-97797.58	-97797.58	34227523.92
1011206	港澳台和外商投资企业城镇土地使用税	0	0	28772.10	28772.10	28772.10	35273108.85
1011219	其他城镇土地使用税	0	46466.67	187161.58	470067.53	470067.53	12963686.64
1011220	城镇土地使用税税款滞纳金、罚款收入	0	78.18	2818.75	140913.10	140913.10	2452409.23
10114	车船税	0	3983770.35	5641648.02	6791858.21	6791858.21	40034381.15
1011401	车船税	0	3983832.09	5641610.04	6791168.56	6791168.56	40011561.80
1011420	车船税税款滞纳金、罚款收入	0	-61.74	37.98	689.65	689.65	22819.35
10118	耕地占用税	0	0	0	0	0	37105436.80
1011801	耕地占用税	0	0	0	0	0	37105436.80
1012101	环境保护税	0	82966.31	3289668.74	4047734.29	4047734.29	4047734.29
1012120	环境保护税税款滞纳金、罚款收入	0	5.13	246.49	334.13	334.13	334.13
103	非税收入	0	4347044.84	38052573.77	81291102.35	81291102.35	1533336852.51
10301	政府性基金收入	0	0	4045473.80	22114604.23	22114604.23	551876578.71
1030147	农业土地开发资金收入	0	0	0	0	0	11900600.00
103014801	土地出让价款收入	0	0	0	0	0	186575938.29
103014802	补缴的土地价款	0	0	99428.80	4181856.80	4181856.80	18923920.92
103014803	划拨土地收入	0	0	0	0	0	10528029.88
103014898	缴纳新增建设用地土地有偿使用费	0	0	0	0	0	-46929792.00
103014899	其他土地出让收入	0	0	0	0	0	93059934.80
103015501	福利彩票公益金收入	0	0	0	0	0	4144237.99
103015502	体育彩票公益金收入	0	0	0	0	0	4020209.99
1030156	城市基础设施配套费收入	0	0	3946045.00	4124085.00	4124085.00	179356523.80
1030178	污水处理费收入	0	0	0	13808662.43	13808662.43	90296975.04
10302	专项收入	0	1997651.52	24928844.58	28437186.80	28437186.80	270580184.93
103020301	教育费附加收入	0	1004493.72	23687944.90	26892740.82	26892740.82	260325725.10
1030218	残疾人就业保障金收入	0	993157.80	1240899.68	1544445.98	1544445.98	9708607.36
1030222	森林植被恢复费	0	0	0	0	0	545852.47
10304	行政事业性收费收入	0	97726.22	1199359.03	3501879.11	3501879.11	45885460.25
103040103	公民出入境证件费	0	0	0	149602.50	149602.50	284640.00
103040109	户籍管理证件工本费	0	0	270.00	790.00	790.00	15414.00
103040110	居民身份证工本费	0	120.00	2180.00	4230.00	4230.00	38100.00
103040111	机动车号牌工本费	0	10717.00	68627.00	179841.00	179841.00	1845199.00
103040112	机动车行驶证工本费	0	3620.00	20990.00	49380.00	49380.00	475590.00
103040113	机动车登记证书工本费	0	590.00	3510.00	8660.00	8660.00	83640.00
103040117	驾驶许可考试费	0	4214.00	629253.00	1297839.00	1297839.00	9897278.00
103040150	其他缴入国库的公安行政事业性收费	0	0	0	0	0	384456.06
103041101	社会抚养费	0	0	0	0	0	388442.00
103042401	防空地下室易地建设费	0	0	0	662400.00	662400.00	4206095.00
103042750	其他缴入国库的教育行政事业性收费	0	0	0	0	0	202337.60
103042754	普通高中住宿费	0	0	0	0	0	250.00
103042757	高等学校学费	0	0	0	0	0	10400.00
103043205	土地闲置费	0	0	0	0	0	1590400.00
103043208	耕地开垦费	0	0	0	152187.28	152187.28	289607.92
103043211	不动产登记费	0	78280.00	441815.00	918095.00	918095.00	8162620.00
103043250	其他缴入国库的国土资源行政事业性收费	0	170.00	1500.00	3940.00	3940.00	24340.00
103043306	城市道路占用挖掘费	0	0	29930.00	31108.00	31108.00	6961569.09
103043508	排污费收入	0	15.22	249.03	38012.18	38012.18	2192194.31
103044550	其他缴入国库的林业行政事业性收费	0	0	0	0	0	6586.00
103044602	河道工程修建维护管理费	0	0	0	134.15	134.15	72686.20
103044709	预防接种劳务费	0	0	0	0	0	3835000.00
103044750	其他缴入国库的卫生行政事业性收费	0	0	0	0	0	3401384.07
103044908	殡葬收费	0	0	1035.00	5660.00	5660.00	340305.00
103044950	其他缴入国库的民政行政事业性收费	0	0	0	0	0	573446.00
103045004	专业技术人员职业资格考试考务费收入	0	0	0	0	0	599700.00
103045050	其他缴入国库的人力资源和社会保障行政事业	0	0	0	0	0	3780.00
10305	罚没收入	0	1507233.70	3492053.48	13422750.21	13422750.21	105804928.74
103050101	公安罚没收入	0	275178.70	1180203.08	2843194.29	2843194.29	55154925.83
103050104	工商罚没收入	0	24000.00	61300.00	274700.00	274700.00	2144215.70
103050105	新闻出版罚没收入	0	0	20000.00	25000.00	25000.00	32500.00
103050106	技术监督罚没收入	0	40000.00	58599.60	83887.60	83887.60	1952336.79
103050107	税务部门罚没收入	0	16962.00	89984.20	190760.20	190760.20	845000.00
103050109	食品药品监督罚没收入	0	5000.00	43883.60	6815226.88	6815226.88	8448897.12
103050110	卫生罚没收入	0	0	3900.00	9900.00	9900.00	213990.00
103050114	交通罚没收入	0	31000.00	41000.00	76649.24	76649.24	1295449.24
103050117	渔政罚没收入	0	0	0	0	0	3450.00
103050199	其他一般罚没收入	0	1115093.00	1993183.00	3103432.00	3103432.00	35714164.06
10306	国有资本经营收入	0	0	0	42113.98	42113.98	3868685.55
1030698	其他国有资本经营预算收入	0	0	0	42113.98	42113.98	3868685.55
10307	国有资源（资产）有偿使用收入	0	33500.00	2317731.68	3588619.94	3588619.94	128829399.36
103070501	国库存款利息收入（人民银行付息）	0	0	0	0	0	2831794.59
103070599	其他利息收入	0	0	1358143.37	1980355.26	1980355.26	21676888.03
103070601	行政单位国有资产出租、出借收入	0	31500.00	52635.20	52635.20	52635.20	9139976.27
103070602	行政单位国有资产处置收入	0	2000.00	3179.00	3179.00	3179.00	75561875.44
103070603	事业单位国有资产处置收入	0	0	0	280.00	280.00	10269321.18
103070604	事业单位国有资产出租出借收入	0	0	66380.00	66380.00	66380.00	66380.00
103070699	其他非经营性国有资产收入	0	0	43200.00	410852.10	410852.10	5547193.07
103071999	其他水资源费收入	0	0	794194.11	1074938.38	1074938.38	3735970.78
10399	其他收入	0	710933.40	2069111.20	10183948.08	10183948.08	426491614.97
103999781	门票收入	0	0	0	0	0	287418.00
103999786	捐资助学收入	0	0	0	2620000.00	2620000.00	3547133.00
103999799	其他收入	0	710933.40	2069111.20	7561875.23	7561875.23	298351563.00
1039999	其他收入	0	0	0	2072.85	2072.85	124305500.97
	一般预算收入合计	0	37139923.56	532764294.84	647465461.67	647465461.67	5326066785.15
	其他基金预算收入合计	0	0	4045473.80	22114604.23	22114604.23	551876578.71
	合计数	0	37139923.56	536809768.64	669580065.90	669580065.90	5877943363.86
